station,lat,lon
Sé, -23.552718, -46.656168
Anhembi, -23.518626, -46.643757
Vila Mariana, -23.58472, -46.63556
Ipiranga, -23.632978, -46.583518
Campo Limpo, -23.65818, -46.76749
M'Boi Mirim, -23.671266, -46.727361
Santo Amaro, -23.634789, -46.667657
Jabaquara, -23.650814, -46.646581
Cidade Ademar, -23.66767, -46.67416
Capela do Socorro, -23.781133, -46.725217
Parelheiros, -23.8677777778, -46.6522222222
Mooca, -23.53, -46.59167
Penha, -23.530763, -46.528744
Vila Formosa, -23.563309, -46.508798
Vila Prudente, -23.583219, -46.560179
Itaquera, -23.552301, -46.446110
São Mateus, -23.594199, -46.465567
São Miguel Paulista, -23.491511, -46.453618
Itaim Paulista, -23.49067, -46.43599
Pinheiros, -23.551871, -46.695939
Butantã, -23.55451644933218, -46.72657012939453
Lapa, -23.52556, -46.75083
Perus, -23.407443, -46.753125
Pirituba, -23.488606, -46.727320
Freguesia do Ó, -23.47706, -46.66537
Tremembé, -23.459841, -46.585572
Vila Maria, -23.501611, -46.591534
Tucuruvi, -23.511211, -46.619502
Santana do Parnaíba, -23.43794, -46.90945
Riacho Grande, -23.752079, -46.532528
Mauá, -23.668383, -46.466539